M,dM
765.8044464609801,87.2271186440678
765.8044464609801,86.23050847457628
764.8053539019965,85.23389830508475
763.8062613430127,84.23728813559323
763.8062613430127,83.2406779661017
762.807168784029,82.24406779661018
761.8080762250454,81.24745762711865
761.8080762250454,80.25084745762713
760.8089836660617,79.2542372881356
759.8098911070781,78.25762711864408
759.8098911070781,77.26101694915255
758.8107985480945,76.26440677966103
757.8117059891107,75.2677966101695
757.8117059891107,74.27118644067798
756.812613430127,73.27457627118645
756.812613430127,72.27796610169493
756.812613430127,71.2813559322034
757.8117059891107,70.28474576271188
756.812613430127,69.28813559322035
755.8135208711434,68.29152542372881
754.8144283121597,67.2949152542373
753.8153357531761,66.29830508474578
752.8162431941925,65.30169491525425
751.8171506352087,64.30508474576271
750.818058076225,63.308474576271195
749.8189655172414,62.31186440677967
748.8198729582577,61.315254237288144
748.8198729582577,60.31864406779662
747.8207803992741,59.322033898305094
746.8216878402905,58.32542372881357
745.8225952813067,57.32881355932204
744.823502722323,56.33220338983052
743.8244101633394,55.33559322033899
742.8253176043557,54.33898305084746
741.8262250453721,53.342372881355935
739.8280399274048,52.34576271186441
738.828947368421,51.349152542372885
736.8307622504537,50.35254237288136
735.8316696914701,49.355932203389834
735.8316696914701,48.35932203389831
734.8325771324864,47.36271186440678
734.8325771324864,46.36610169491526
733.8334845735028,45.36949152542373
733.8334845735028,44.37288135593221
732.834392014519,43.37627118644068
732.834392014519,42.37966101694916
731.8352994555354,41.38305084745763
730.8362068965517,40.38644067796611
729.8371143375681,39.38983050847458
728.8380217785844,38.393220338983056
727.8389292196008,37.39661016949153
726.839836660617,36.400000000000006
724.8416515426497,35.40338983050848
722.8434664246824,34.406779661016955
720.845281306715,33.41016949152543
719.8461887477314,32.413559322033905
717.8480036297641,31.416949152542376
715.8498185117968,30.420338983050847
713.8516333938294,29.423728813559322
712.8525408348457,28.427118644067797
711.8534482758621,27.43050847457627
710.8543557168784,26.433898305084746
710.8543557168784,25.43728813559322
710.8543557168784,24.440677966101696
710.8543557168784,23.44406779661017
710.8543557168784,22.447457627118645
709.8552631578948,21.45084745762712
709.8552631578948,20.454237288135594
709.8552631578948,19.45762711864407
709.8552631578948,18.46101694915254
709.8552631578948,17.464406779661015
709.8552631578948,16.467796610169493
709.8552631578948,15.471186440677966
709.8552631578948,14.474576271186441
709.8552631578948,13.477966101694916
709.8552631578948,12.481355932203389
709.8552631578948,11.484745762711864
708.8561705989111,10.488135593220338
702.8616152450091,9.491525423728813
692.8706896551724,8.494915254237288
691.8715970961888,7.498305084745763
