# Obtained from here:
# https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVstopsbottom?raw=on


*Stop-antistop (sbottom-antisbottom) production cross sections* in proton-proton collisions, <latex> pp \to \tilde t \tilde t^*/\tilde b \tilde b^* </latex>, at 13 !TeV, computed at NNLO<sub>approx</sub>+NNLL in the limit of large squark (other than the stop/sbottom) and gluino masses (decoupled regime). No top quarks are considered in the initial state. The PDF set is !PDF4LHC21_40_pdfas (LHAPDF ID 93300).

Uncertainties (corresponding to PDF+<latex>\alpha_s</latex> and scale uncertainties as well as the uncertainty related to the choice of the stop/sbottom mixing angle added in quadrature) on theory predictions are symmetrized.

Contact: Christoph Borschensky, Anna Kulesza, 2024

Please cite SciPost Phys. Core 7, 072 (2024), https://scipost.org/SciPostPhysCore.7.4.072 (Latest paper accompanying the release of the NNLL-fast 2.0 code)
and other NNLL-fast related papers, whenever NNLL-fast 2.0 or the new cross sections are used, see https://www.uni-muenster.de/Physik.TP/~akule_01/nnllfast  for details.

---+ NNLO<sub>approx</sub> + NNLL
| *Stop / sbottom mass (!GeV)* | *Cross section (pb)* | *&plusmn; Uncertainty* |
| 1245 | 1.403E-03 | 12.06 % |
| 1250 | 1.359E-03 | 12.15 % |
| 1255 | 1.317E-03 | 12.23 % |
| 1260 | 1.275E-03 | 12.31 % |
| 1265 | 1.235E-03 | 12.39 % |
| 1270 | 1.197E-03 | 12.47 % |
| 1275 | 1.160E-03 | 12.56 % |
| 1280 | 1.124E-03 | 12.64 % |
| 1285 | 1.089E-03 | 12.73 % |
| 1290 | 1.055E-03 | 12.81 % |
| 1295 | 1.023E-03 | 12.90 % |
| 1300 | 9.912E-04 | 12.98 % |
| 1305 | 9.608E-04 | 13.06 % |
| 1310 | 9.313E-04 | 13.14 % |
| 1315 | 9.028E-04 | 13.23 % |
| 1320 | 8.753E-04 | 13.31 % |
| 1325 | 8.486E-04 | 13.39 % |
| 1330 | 8.228E-04 | 13.47 % |
| 1335 | 7.978E-04 | 13.55 % |
| 1340 | 7.736E-04 | 13.64 % |
| 1345 | 7.502E-04 | 13.72 % |
| 1350 | 7.275E-04 | 13.81 % |
| 1355 | 7.056E-04 | 13.89 % |
| 1360 | 6.844E-04 | 13.98 % |
| 1365 | 6.639E-04 | 14.07 % |
| 1370 | 6.440E-04 | 14.16 % |
| 1375 | 6.247E-04 | 14.25 % |
| 1380 | 6.060E-04 | 14.34 % |
| 1385 | 5.880E-04 | 14.43 % |
| 1390 | 5.705E-04 | 14.52 % |
| 1395 | 5.536E-04 | 14.61 % |
| 1400 | 5.371E-04 | 14.71 % |
| 1405 | 5.213E-04 | 14.81 % |
| 1410 | 5.059E-04 | 14.91 % |
| 1415 | 4.909E-04 | 15.01 % |
| 1420 | 4.765E-04 | 15.11 % |
| 1425 | 4.625E-04 | 15.21 % |
| 1430 | 4.489E-04 | 15.32 % |
| 1435 | 4.358E-04 | 15.43 % |
| 1440 | 4.230E-04 | 15.53 % |
| 1445 | 4.107E-04 | 15.64 % |
| 1450 | 3.987E-04 | 15.75 % |
| 1455 | 3.871E-04 | 15.86 % |
| 1460 | 3.759E-04 | 15.97 % |
| 1465 | 3.650E-04 | 16.09 % |
| 1470 | 3.544E-04 | 16.20 % |
| 1475 | 3.442E-04 | 16.32 % |
| 1480 | 3.343E-04 | 16.43 % |
| 1485 | 3.246E-04 | 16.55 % |
| 1490 | 3.153E-04 | 16.67 % |
| 1495 | 3.062E-04 | 16.79 % |
| 1500 | 2.975E-04 | 16.91 % |
| 1505 | 2.889E-04 | 17.03 % |
| 1510 | 2.807E-04 | 17.15 % |
| 1515 | 2.727E-04 | 17.28 % |
| 1520 | 2.649E-04 | 17.40 % |
| 1525 | 2.574E-04 | 17.53 % |
| 1530 | 2.500E-04 | 17.66 % |
| 1535 | 2.430E-04 | 17.78 % |
| 1540 | 2.361E-04 | 17.91 % |
| 1545 | 2.294E-04 | 18.04 % |
| 1550 | 2.229E-04 | 18.17 % |
| 1555 | 2.166E-04 | 18.31 % |
| 1560 | 2.105E-04 | 18.44 % |
| 1565 | 2.046E-04 | 18.57 % |
| 1570 | 1.989E-04 | 18.71 % |
| 1575 | 1.933E-04 | 18.84 % |
| 1580 | 1.879E-04 | 18.98 % |
| 1585 | 1.826E-04 | 19.12 % |
| 1590 | 1.775E-04 | 19.26 % |
| 1595 | 1.726E-04 | 19.40 % |
| 1600 | 1.678E-04 | 19.54 % |
| 1605 | 1.631E-04 | 19.68 % |
| 1610 | 1.586E-04 | 19.82 % |
| 1615 | 1.542E-04 | 19.96 % |
| 1620 | 1.499E-04 | 20.10 % |
| 1625 | 1.458E-04 | 20.24 % |
| 1630 | 1.418E-04 | 20.38 % |
| 1635 | 1.379E-04 | 20.53 % |
| 1640 | 1.341E-04 | 20.68 % |
| 1645 | 1.304E-04 | 20.82 % |
| 1650 | 1.268E-04 | 20.97 % |
| 1655 | 1.234E-04 | 21.12 % |
| 1660 | 1.200E-04 | 21.27 % |
| 1665 | 1.167E-04 | 21.43 % |
| 1670 | 1.135E-04 | 21.58 % |
| 1675 | 1.104E-04 | 21.74 % |
| 1680 | 1.074E-04 | 21.89 % |
| 1685 | 1.045E-04 | 22.05 % |
| 1690 | 1.017E-04 | 22.21 % |
| 1695 | 9.890E-05 | 22.38 % |
| 1700 | 9.622E-05 | 22.54 % |
| 1705 | 9.361E-05 | 22.71 % |
| 1710 | 9.107E-05 | 22.88 % |
| 1715 | 8.861E-05 | 23.06 % |
| 1720 | 8.622E-05 | 23.23 % |
| 1725 | 8.389E-05 | 23.41 % |
| 1730 | 8.163E-05 | 23.59 % |
| 1735 | 7.943E-05 | 23.77 % |
| 1740 | 7.729E-05 | 23.96 % |
| 1745 | 7.521E-05 | 24.14 % |
| 1750 | 7.319E-05 | 24.33 % |
| 1755 | 7.123E-05 | 24.51 % |
| 1760 | 6.932E-05 | 24.70 % |
| 1765 | 6.747E-05 | 24.89 % |
| 1770 | 6.567E-05 | 25.08 % |
| 1775 | 6.391E-05 | 25.28 % |
| 1780 | 6.221E-05 | 25.47 % |
| 1785 | 6.055E-05 | 25.67 % |
| 1790 | 5.894E-05 | 25.86 % |
| 1795 | 5.738E-05 | 26.06 % |
| 1800 | 5.585E-05 | 26.26 % |
| 1805 | 5.438E-05 | 26.46 % |
| 1810 | 5.294E-05 | 26.65 % |
| 1815 | 5.154E-05 | 26.85 % |
| 1820 | 5.018E-05 | 27.05 % |
| 1825 | 4.886E-05 | 27.25 % |
| 1830 | 4.757E-05 | 27.45 % |
| 1835 | 4.632E-05 | 27.65 % |
| 1840 | 4.511E-05 | 27.86 % |
| 1845 | 4.393E-05 | 28.07 % |
| 1850 | 4.278E-05 | 28.27 % |
| 1855 | 4.166E-05 | 28.48 % |
| 1860 | 4.057E-05 | 28.69 % |
| 1865 | 3.951E-05 | 28.91 % |
| 1870 | 3.848E-05 | 29.12 % |
| 1875 | 3.748E-05 | 29.34 % |
| 1880 | 3.650E-05 | 29.55 % |
| 1885 | 3.556E-05 | 29.77 % |
| 1890 | 3.463E-05 | 29.99 % |
| 1895 | 3.373E-05 | 30.22 % |
| 1900 | 3.286E-05 | 30.44 % |
| 1905 | 3.201E-05 | 30.67 % |
| 1910 | 3.119E-05 | 30.91 % |
| 1915 | 3.038E-05 | 31.14 % |
| 1920 | 2.960E-05 | 31.38 % |
| 1925 | 2.884E-05 | 31.62 % |
| 1930 | 2.809E-05 | 31.86 % |
| 1935 | 2.737E-05 | 32.10 % |
| 1940 | 2.667E-05 | 32.34 % |
| 1945 | 2.599E-05 | 32.59 % |
| 1950 | 2.532E-05 | 32.84 % |
| 1955 | 2.467E-05 | 33.09 % |
| 1960 | 2.404E-05 | 33.34 % |
| 1965 | 2.343E-05 | 33.60 % |
| 1970 | 2.283E-05 | 33.85 % |
| 1975 | 2.225E-05 | 34.11 % |
| 1980 | 2.168E-05 | 34.37 % |
| 1985 | 2.113E-05 | 34.63 % |
| 1990 | 2.059E-05 | 34.90 % |
| 1995 | 2.007E-05 | 35.16 % |
| 2000 | 1.956E-05 | 35.43 % |
| 2005 | 1.906E-05 | 35.70 % |
| 2010 | 1.858E-05 | 35.97 % |
| 2015 | 1.811E-05 | 36.24 % |
| 2020 | 1.765E-05 | 36.52 % |
| 2025 | 1.720E-05 | 36.79 % |
| 2030 | 1.677E-05 | 37.07 % |
| 2035 | 1.634E-05 | 37.35 % |
| 2040 | 1.593E-05 | 37.63 % |
| 2045 | 1.553E-05 | 37.92 % |
| 2050 | 1.513E-05 | 38.20 % |
| 2055 | 1.475E-05 | 38.49 % |
| 2060 | 1.438E-05 | 38.78 % |
| 2065 | 1.402E-05 | 39.07 % |
| 2070 | 1.367E-05 | 39.37 % |
| 2075 | 1.332E-05 | 39.67 % |
| 2080 | 1.299E-05 | 39.97 % |
| 2085 | 1.266E-05 | 40.27 % |
| 2090 | 1.235E-05 | 40.57 % |
| 2095 | 1.204E-05 | 40.88 % |
| 2100 | 1.173E-05 | 41.19 % |
| 2105 | 1.144E-05 | 41.50 % |
| 2110 | 1.116E-05 | 41.81 % |
| 2115 | 1.088E-05 | 42.13 % |
| 2120 | 1.061E-05 | 42.45 % |
| 2125 | 1.034E-05 | 42.77 % |
| 2130 | 1.008E-05 | 43.09 % |
| 2135 | 9.833E-06 | 43.42 % |
| 2140 | 9.589E-06 | 43.75 % |
| 2145 | 9.350E-06 | 44.08 % |
| 2150 | 9.118E-06 | 44.42 % |
| 2155 | 8.892E-06 | 44.75 % |
| 2160 | 8.672E-06 | 45.09 % |
| 2165 | 8.457E-06 | 45.43 % |
| 2170 | 8.247E-06 | 45.78 % |
| 2175 | 8.043E-06 | 46.13 % |
| 2180 | 7.844E-06 | 46.48 % |
| 2185 | 7.650E-06 | 46.83 % |
| 2190 | 7.461E-06 | 47.18 % |
| 2195 | 7.277E-06 | 47.54 % |
| 2200 | 7.098E-06 | 47.90 % |
| 2205 | 6.923E-06 | 48.27 % |
| 2210 | 6.752E-06 | 48.64 % |
| 2215 | 6.586E-06 | 49.01 % |
| 2220 | 6.423E-06 | 49.38 % |
| 2225 | 6.265E-06 | 49.76 % |
| 2230 | 6.111E-06 | 50.14 % |
| 2235 | 5.961E-06 | 50.52 % |
| 2240 | 5.815E-06 | 50.91 % |
| 2245 | 5.672E-06 | 51.30 % |
| 2250 | 5.533E-06 | 51.69 % |
| 2255 | 5.397E-06 | 52.08 % |
| 2260 | 5.265E-06 | 52.47 % |
| 2265 | 5.136E-06 | 52.87 % |
| 2270 | 5.010E-06 | 53.27 % |
| 2275 | 4.888E-06 | 53.67 % |
| 2280 | 4.768E-06 | 54.07 % |
| 2285 | 4.652E-06 | 54.48 % |
| 2290 | 4.538E-06 | 54.89 % |
| 2295 | 4.428E-06 | 55.30 % |
| 2300 | 4.320E-06 | 55.71 % |
| 2305 | 4.214E-06 | 56.12 % |
| 2310 | 4.112E-06 | 56.53 % |
| 2315 | 4.012E-06 | 56.94 % |
| 2320 | 3.914E-06 | 57.35 % |
| 2325 | 3.819E-06 | 57.77 % |
| 2330 | 3.727E-06 | 58.19 % |
| 2335 | 3.636E-06 | 58.61 % |
| 2340 | 3.548E-06 | 59.03 % |
| 2345 | 3.462E-06 | 59.46 % |
| 2350 | 3.378E-06 | 59.89 % |
| 2355 | 3.297E-06 | 60.32 % |
| 2360 | 3.217E-06 | 60.76 % |
| 2365 | 3.139E-06 | 61.19 % |
| 2370 | 3.063E-06 | 61.63 % |
| 2375 | 2.989E-06 | 62.07 % |
| 2380 | 2.917E-06 | 62.52 % |
| 2385 | 2.847E-06 | 62.97 % |
| 2390 | 2.778E-06 | 63.42 % |
| 2395 | 2.712E-06 | 63.88 % |
| 2400 | 2.646E-06 | 64.33 % |
| 2405 | 2.583E-06 | 64.79 % |
| 2410 | 2.521E-06 | 65.26 % |
| 2415 | 2.460E-06 | 65.73 % |
| 2420 | 2.401E-06 | 66.20 % |
| 2425 | 2.344E-06 | 66.67 % |
| 2430 | 2.288E-06 | 67.15 % |
| 2435 | 2.233E-06 | 67.63 % |
| 2440 | 2.180E-06 | 68.12 % |
| 2445 | 2.128E-06 | 68.61 % |
| 2450 | 2.077E-06 | 69.10 % |
| 2455 | 2.027E-06 | 69.59 % |
| 2460 | 1.979E-06 | 70.10 % |
| 2465 | 1.931E-06 | 70.60 % |
| 2470 | 1.885E-06 | 71.11 % |
| 2475 | 1.840E-06 | 71.62 % |
| 2480 | 1.796E-06 | 72.14 % |
| 2485 | 1.754E-06 | 72.66 % |
| 2490 | 1.712E-06 | 73.18 % |
| 2495 | 1.671E-06 | 73.71 % |
| 2500 | 1.631E-06 | 74.25 % |
| 2505 | 1.592E-06 | 74.79 % |
| 2510 | 1.554E-06 | 75.34 % |
| 2515 | 1.517E-06 | 75.90 % |
| 2520 | 1.481E-06 | 76.46 % |
| 2525 | 1.445E-06 | 77.02 % |
| 2530 | 1.411E-06 | 77.59 % |
| 2535 | 1.377E-06 | 78.16 % |
| 2540 | 1.344E-06 | 78.73 % |
| 2545 | 1.312E-06 | 79.31 % |
| 2550 | 1.281E-06 | 79.90 % |
| 2555 | 1.250E-06 | 80.48 % |
| 2560 | 1.220E-06 | 81.08 % |
